review_id,review_text,category,stemmed
0fc651bfdd38a3b4ba19ef9d0d1e92e3,"['penginapannya', 'rapi', 'bersih', 'suasana', 'tenang', 'pelayannya', 'ramah', 'membantu', 'lokasi', 'obyek', 'wisata', 'bandung', 'menginap']",1,"['inap', 'rapi', 'bersih', 'suasana', 'tenang', 'layan', 'ramah', 'bantu', 'lokasi', 'obyek', 'wisata', 'bandung', 'inap']"
7d8cb2e465c5602e51c1ba8710e8ff16,"['wifi', 'kamar', 'tersedia', 'heater', 'dispenser', 'tersedia', 'kursi', 'kamar', 'merokok', 'duduk', 'lantai']",0,"['wifi', 'kamar', 'sedia', 'heater', 'dispenser', 'sedia', 'kursi', 'kamar', 'rokok', 'duduk', 'lantai']"
1f4447c73e5e1aac462d05b0ecbd5a55,"['lantai', 'kamar', 'mandi', 'kotor', 'bau', 'sdh', 'jdi', 'sarang', 'nyamuk', 'dikamar', 'mandinya', 'pesan', 'superior', 'double', 'yg', 'dikasih', 'twin', 'murah', 'maklumin', 'tpi', 'kedepan', 'mohon', 'jdi', 'perbaikan', 'lbh', 'lg']",0,"['lantai', 'kamar', 'mandi', 'kotor', 'bau', 'sdh', 'jdi', 'sarang', 'nyamuk', 'kamar', 'mandi', 'pesan', 'superior', 'double', 'yg', 'kasih', 'twin', 'murah', 'maklumin', 'tpi', 'depan', 'mohon', 'jdi', 'baik', 'lbh', 'lg']"
b9aefbfb0debbfff43f8b268c82b43c0,"['wc', 'jorok', 'kasur', 'dibersihkan', 'handuk', 'diganti']",0,"['wc', 'jorok', 'kasur', 'bersih', 'handuk', 'ganti']"
e2afef18bd695fae43d4d53b8c547bd4,['bocor'],0,['bocor']
a45d79bde831ad1306adbd8ffb5d3d50,"['kebersihan', 'pelayanan', 'kerapihan']",0,"['bersih', 'layan', 'kerapihan']"
ecdf90bd55184829caae18e5423a2e53,"['tidur', 'krn', 'bantal', 'bau', 'apek']",0,"['tidur', 'krn', 'bantal', 'bau', 'apek']"
b0a8cb904f0536dca57bd5be090e510c,"['pelayanannya', 'kmr', 'bersih', 'menu', 'makanannya', 'enak', 'sayang', 'wifinya', 'kutang', 'bagus']",1,"['layan', 'kmr', 'bersih', 'menu', 'makan', 'enak', 'sayang', 'wifinya', 'kutang', 'bagus']"
c2dd2ab5fd6880dc2ca8c3901f88dc53,"['kamar', 'kecoa', 'tlg', 'diperhatikan', 'kebersihannya']",0,"['kamar', 'kecoa', 'tlg', 'perhati', 'bersih']"
4018a964e23acd6f0363fda9cbbc92ec,"['kamar', 'mandi', 'banjir']",0,"['kamar', 'mandi', 'banjir']"
1b5c20dacda39afbd50f295d0f5e96d6,"['menjaga', 'kebersihan', 'tidur', 'kenyamanan', 'tamu', 'betiga', 'beranak', 'tilamnya', 'hibak', 'pempijit', 'sarang', 'pempijit', 'dikepala', 'ranjangnya', 'untungnya', 'pindah', 'kamar']",0,"['jaga', 'bersih', 'tidur', 'nyaman', 'tamu', 'betiga', 'anak', 'tilam', 'hibak', 'pempijit', 'sarang', 'pempijit', 'kepala', 'ranjang', 'untung', 'pindah', 'kamar']"
0669b84a32d01e54e73a1499b2efaf8b,"['pelayanan', 'ramah', 'ribet', 'administrasi', 'rekomen', 'nginap', 'dsini']",0,"['layan', 'ramah', 'ribet', 'administrasi', 'rekomen', 'nginap', 'dsini']"
d6fd462ba09d87510ac1d767b68d1d68,"['hotel', 'bersih', 'bgt', 'nyaman', 'kolam', 'renang', 'bersih', 'pelayanan', 'hotel', 'deket', 'sm', 'indomaret', 'hotel', 'makanan', 'manado', 'murah', 'enak', 'remomended', 'banget', 'pokoknya']",1,"['hotel', 'bersih', 'bgt', 'nyaman', 'kolam', 'renang', 'bersih', 'layan', 'hotel', 'deket', 'sm', 'indomaret', 'hotel', 'makan', 'manado', 'murah', 'enak', 'remomended', 'banget', 'pokok']"
